total_num,condition,tr_num,tr_type,left_image,center_image,right_image,duration,target_side,correct_response,background,length,images1,images2,images3,images4,images5,images6,text
1,1,1,instruct,,,,,,,white-background,,,,,,,,"<br><br><p style='font-size:30px;'> We will now start the real test.<br>The instructions will remind you what to do,<br>and the tester will prompt you if you forget.<br><br>On the next page you will see three shapes<br>Decide which shape is the odd-one-out and click on it<br>When requested, click on where the odd-one-out appeared in the box<br><br><br>Press the button below to begin</p>"
2,1,1,image,1-1-foil,1-1-target,1-1-foil,5000,C,1,white-background,,,,,,,,
3,1,1,rect,,,,,,,white-background,1,"foil,target,foil",NA,NA,NA,NA,NA,
4,1,2,image,1-2-target,1-2-foil,1-2-foil,5000,L,0,white-background,,,,,,,,
5,1,2,rect,,,,,,,white-background,1,"target,foil,foil",NA,NA,NA,NA,NA,
6,1,3,image,1-3-foil,1-3-foil,1-3-target,5000,R,2,white-background,,,,,,,,
7,1,3,rect,,,,,,,white-background,1,"foil,foil,target",NA,NA,NA,NA,NA,
8,1,4,image,1-4-foil,1-4-foil,1-4-target,5000,R,2,white-background,,,,,,,,
9,1,4,rect,,,,,,,white-background,1,"foil,foil,target",NA,NA,NA,NA,NA,
10,2,1,instruct,,,,,,,white-background,,,,,,,,"<br><br><p style='font-size:30px;'> On the next two pages you will see three shapes on each<br>Decide which is the odd-one-out on each page and click on it<br>When requested, click on where the odd-one-out shape on each page appeared in the correct order<br><br><br>Press the button below to begin</p>"
11,2,1,image,2-1-target,2-1-foil,2-1-foil,5000,L,0,white-background,,,,,,,,
12,2,2,image,2-2-target,2-2-foil,2-2-foil,5000,L,0,white-background,,,,,,,,
13,2,1,rect,,,,,,,white-background,2,"target,foil,foil","target,foil,foil",NA,NA,NA,NA,
14,2,3,image,2-3-foil,2-3-foil,2-3-target,5000,R,2,white-background,,,,,,,,
15,2,4,image,2-4-foil,2-4-target,2-4-foil,5000,C,1,white-background,,,,,,,,
16,2,2,rect,,,,,,,white-background,2,"foil,foil,target","foil,target,foil",NA,NA,NA,NA,
17,2,5,image,2-5-target,2-5-foil,2-5-foil,5000,L,0,white-background,,,,,,,,
18,2,6,image,2-6-foil,2-6-foil,2-6-target,5000,R,2,white-background,,,,,,,,
19,2,3,rect,,,,,,,white-background,2,"target,foil,foil","foil,foil,target",NA,NA,NA,NA,
20,2,7,image,2-7-foil,2-7-target,2-7-foil,5000,R,2,white-background,,,,,,,,
21,2,8,image,2-8-foil,2-8-target,2-8-foil,5000,C,1,white-background,,,,,,,,
22,2,4,rect,,,,,,,white-background,2,"foil,foil,target","foil,target,foil",NA,NA,NA,NA,
23,3,1,instruct,,,,,,,white-background,,,,,,,,"<br><br><p style='font-size:30px;'> On the next three pages you will see three shapes on each<br>Decide which is the odd-one-out on each page and click on it<br>When requested, click on where the odd-one-out shape on each page appeared in the correct order<br><br><br>Press the button below to begin</p>"
24,3,1,image,3-1-foil,3-1-target,3-1-foil,5000,C,1,white-background,,,,,,,,
25,3,2,image,3-2-target,3-2-foil,3-2-foil,5000,L,0,white-background,,,,,,,,
26,3,3,image,3-3-target,3-3-foil,3-3-foil,5000,L,0,white-background,,,,,,,,
27,3,1,rect,,,,,,,white-background,3,"foil,target,foil","target,foil,foil","target,foil,foil",NA,NA,NA,
28,3,4,image,3-4-foil,3-4-foil,3-4-target,5000,R,2,white-background,,,,,,,,
29,3,5,image,3-5-target,3-5-foil,3-5-foil,5000,L,0,white-background,,,,,,,,
30,3,6,image,3-6-foil,3-6-foil,3-6-target,5000,R,2,white-background,,,,,,,,
31,3,2,rect,,,,,,,white-background,3,"foil,foil,target","target,foil,foil","foil,foil,target",NA,NA,NA,
32,3,7,image,3-7-foil,3-7-target,3-7-foil,5000,C,1,white-background,,,,,,,,
33,3,8,image,3-8-foil,3-8-foil,3-8-target,5000,R,2,white-background,,,,,,,,
34,3,9,image,3-9-foil,3-9-foil,3-9-target,5000,R,2,white-background,,,,,,,,
35,3,3,rect,,,,,,,white-background,3,"foil,target,foil","foil,foil,target","foil,foil,target",NA,NA,NA,
36,3,10,image,3-10-target,3-10-foil,3-10-foil,5000,L,0,white-background,,,,,,,,
37,3,11,image,3-11-foil,3-11-target,3-11-foil,5000,C,1,white-background,,,,,,,,
38,3,12,image,3-12-target,3-12-foil,3-12-foil,5000,L,0,white-background,,,,,,,,
39,3,4,rect,,,,,,,white-background,3,"target,foil,foil","foil,target,foil","target,foil,foil",NA,NA,NA,
40,4,1,instruct,,,,,,,white-background,,,,,,,,"<br><br><p style='font-size:30px;'> On the next four pages you will see three shapes on each<br>Decide which is the odd-one-out on each page and click on it<br>When requested, click on where the odd-one-out shape on each page appeared in the correct order<br><br><br>Press the button below to begin</p>"
41,4,1,image,4-1-foil,4-1-target,4-1-foil,5000,C,1,white-background,,,,,,,,
42,4,2,image,4-2-foil,4-2-foil,4-2-target,5000,R,2,white-background,,,,,,,,
43,4,3,image,4-3-foil,4-3-foil,4-3-target,5000,R,2,white-background,,,,,,,,
44,4,4,image,4-4-foil,4-4-target,4-4-foil,5000,C,1,white-background,,,,,,,,
45,4,1,rect,,,,,,,white-background,4,"foil,target,foil","foil,foil,target","foil,foil,target","foil,target,foil",NA,NA,
46,4,5,image,4-5-target,4-5-foil,4-5-foil,5000,L,0,white-background,,,,,,,,
47,4,6,image,4-6-foil,4-6-foil,4-6-target,5000,R,2,white-background,,,,,,,,
